gt_text,pred_text
今大学教員をやってるんですけど,今大学教員でやってるんですけど。
それについて今日あのまー紹介したいとあー思ってます,それについて今日紹介したいと思ってます。
周りをみると,周りを見ると。
そういうこう読み書きできない人になってしまった,そういう読み書きできない人になってしまった。
そのフィルタが外されたような感じですね,そのフィルツァーが外されたような感じですね。
この日本語っていう暗号,この日本語という暗号。
特に英語との関係を考えるとですね,特に英語との関係を考えるとですね
またミルクに戻りますね,またミルクに戻りましてね。
そんなどうでもいい,そらどうでもいい。
例えばえあの小さい例なんですけどえーっと,例えばまあ小さい例なんですけど。
軽蔑ガイダンスまきっといじめ問題があったに違いないと,軽蔑がきっといじめ問題あったに違いないと。
少しずつ使えるように日本語覚えていきました,少しずつ使えるように日本語を覚えてきました。
でこういう風にこうあの身を異文化に置くというのは,でこういうふうにこう実を異文化に置くっていうのは。
そこに踏み出すというのは,そこに踏み出すっていうのは。
インターネットを見るとこういうこういうのはいっぱいえー載ってると思うんですけど,インターネット見るとこういうこういうのいっぱい載ってると思うんですけど。
えー見ていきたいと思うんです,見ていきたいと思うんです。
まあ要するにねえ天才じゃない,まあ要するにね天才てない。
共感できる部分あると思うんですけど,共感できる部分はあると思うんですけど。
日本の教育レベルは高いんですね,日本は教育レベル高いんですね。
でこれはもうちょっと,でこれはもうちょっと。
あとビール飲むとまももっとぼやぼやけてきますよね,あとビール飲むともっとぼやきできますよね。
コンフォートゾーンが形を変えながら広がっていくっていう,カンプゾンが形を変えながら広がっていくっていう。
まあ大きいえープロジェクト,大きい到着。
当たり前なんですけどどこまでっていうのは,当たり前なんですけどどこまでっていうのは。
分り易くていいんですけど反対する国は当然でてきます,分かりやすくていいんですけど反対する国は当然出てきます。
そこで承認されればもうあの,そこで承認されればもう。
海里あの使いますけどこれあうん,かいり使いますけど。
でこの下にある海底も,でこの下にある海底も。
私関わったのは,私が関わったのは。
自分の研究使いたいなあと,自分の研究使いたいなと。
重力磁性岩石の種類岩石の年代,重力自制岩石の種類岩石の年代。
その姿が浮き彫りになってきました,その姿が浮き彫りになってきました。
で専門知識が必要,で専門知識が必要。
九州えーこれは四国海盆でえー,九州、これは四国海盆で。
まあ海底に資源がいっぱい眠ってるっていうえー,まあ海底に資源がいっぱい眠ってるという。
あとはですね,あとはですね
要するにこう争わなくてあの決まるもの,要するに争わなくて決まるもの。
何人かは読んでる読んでるそうですはい,何人かは呼んでるそうです。
あの外務省の人たちと話しなきゃいけない,外務省の人たちと話しなきゃいけない。
僕にとって非常に感慨深いものだったんですね,僕にとって非常に感慨深いものだったんですね。
あとはですね多分あの,あとはですね多分。
でえーじゃあその,でじゃあその。
世界見たらですね爆発的に留学生の人数が増えてます,世界見たらですね爆発的に留学生の人数が増えてます。
でドイツサウジアラビアフランスあのえっと,でドイツサウリアラビアフランスへ。
こんなに低いという,こんなに低いという。
十年間で半減してます,10年間で半減してます。
これやっぱり人間のこう基本的な願望の一つを表してると思うんですね,これはやっぱり人間の基本的な願望の一つを表してると思うんですね。
でも結局大学戻ってきたのは,でも結局大学戻ってきて。
もっと限界試して欲しいなとあの思います,もっと限界試してほしいなと思います。
まー私はそういう人たちをですね,まあ私はそういう人たちはですね
それでえーあのほどよくストレスを感じながら楽しみながら,それで程よくストレスを感じながら楽しみながら。
順番に並んでいるそばからソワソワしていました,順番に並んでるそばからそわそわしてました。
本当は二ノ駅なのにその先の三ノ駅までを買いました,本当は2の駅なのにその先の3の駅までを買いました。
どもりを隠すために,どもりを隠すために。
いろんな人が近づいてきました,いろんな人が近づいてきました。
こうしてダウジング棒を持っていくと,こうしてダウジング棒を持っていくと。
ふとその喋り方を真似してみました,ふとそのしゃべり方をまねしてみました。
お客さんどちらまで,お客さんどちらまで?
ニャーオ,うん。
ちぐはぐになってしまいました,ちぐはぐになってしまいました。
ペラペラペラペラペラ,ペラペラペラペラペラ。
繰り返し繰り返し一心不乱に練習しました,繰り返し繰り返し一心不乱に練習しました。
するとまたわ身体のどこからかなんだかぶら下がって,それとまた体のどこからか何だかぶら下がって。
スラスラスラスラペラペラペラペラ,スラスラスラスラベラベラベラバラ。
大笑いしましたはっはっはっはっはっ,大笑いしました。ハハハハハハハハ。
目の下にクマを作ってこわばった目つきで,目の下にクマを作ってこわばった目つきで。
次の瞬間危ない,次の瞬間危ない!
おい生きてるか,おい生きてるか?
そう難しく考えることはねぇんだよ,そう難しく考えることはないんだ。
あんたどもりがあったなぁ喋るときにつっかえたり繰り返したり,あんたどんもりがあったなしゃべる時につっかえたり繰り返したり。
顔だけ巣穴から出してる狸みたいにキョロキョロしてるようなやつまで,顔だけ巣穴から出してるタヌキみたいにキョロキョロしてるようなやつまで。
一度切り離された影は二度と戻らねぇよ,一度切り離された影は二度と戻らねえよ。
はは半分いやだだだめだめ,半分!
あんたの喋り方はえー人を自分の世界に巻き込む力がある,あんたのしゃべり方は人を自分の世界に巻き込む力がある。
それがあんたにとって最後のチャンスだ,それがあんたにとって最後のチャンスだ。
よし取引成立だいいか,よし取引成立だいいか!
そうやって聞こえなくても会話することができて,そうやって聞こえなくても会話することができて。
タナムと会った時のことを思い出しゃなに,タナムと会った時のことを思い出しゃなに!
その代わり,その代わり。
オレはあんたの影をいただいて言葉をいただいていなくなる,ほらあんたの影を頂いて言葉を頂いていなくなる。
私はこの芯を使ってアート作品を作っています,私はこの芯を使ってアート作品を作っています。
芯には実にいろんな種類があるんですが,芯には実にいろんな種類があるんですが。
そしてふたつ目は芯の裁断方法が決まっているということです,そして2つ目は真の裁断方法が決まっているということです。
最小の大きさが十六分の一分割と決めています,最初の大きさが16分の1分割と決めています。
最大は十五メートルから,最大は15メートルから。
同じ作品を展示しても見え方や感じ方が変わるようになっています,同じ作品を展示しても見え方や感じ方が変わるようになっています。
でデザインの仕事柄私はホームページとかあとチラシなどを作ったりして,デザインの仕事柄私はホームページとかあとチラシなどを作ったりして。
とても違和感を感じていました,とても違和感を感じていました。
なにか新しいものとかを作り出せないかなぁと考え始めたんです,何か新しいものとかを作り出せないかなと考え始めたんです。
私よりずっと有名な方なんで,私よりずっと有名な方なんで。
リンゴが木から落ちるというその自然なことに反応できたのではないでしょうか,リンゴが木から落ちるというその自然なことに反応できたのではないでしょうか。
その紙はすごく丈夫なものでできています,その紙はすごく丈夫なもので出来ています。
芯ってなんて完璧なんだろうと思ったんです,芯ってなんて完璧なんだろうと思ったんです。
この完璧な芯を使ってなにかできないかなぁと思い始めたんですよ,この完璧なシーンを使って何かできないかなと思い始めたんですよ。
そういう作品ってどんなものがあるのかなぁと思って,そういう作品ってどんなものがあるのかなと思って。
世界中にひとりもいなかったんです,世界中に一人もいなかったんです。
感動したり,感動したり。
見れば芯だと分かると思ってたんですね,見れば死んだと分かると思ってたんですね。
二千十年にマレーシアのアートフェスティバルに呼ばれたときに,2010年にマレーシアのアートフェスティバルに呼ばれた時に。
そしてあとはもう身振り手振りのジェスチャーで,そしてあとはもう身振り手振りのジェスチャーで。
先進国であればそう珍しいものではないんですよ,先進国であればそう珍しいものではないんですよ。
なんだぁ芯を切って貼ってるだけじゃないか,何だ芯を切って貼ってるだけじゃないか。
教えてくださいと言われたこともあります,教えて下さいと言われたこともあります。
ですごくなぜかモヤモヤしちゃったんですね,すごくなぜかモヤモヤしちゃったんですね。
それから私は感動するだけではなくて,それから私は感動するだけではなくて。
雑紙とかトイレットペーパーの芯をやっぱリサイクルに出す,雑紙とかトイレットペーパーの芯を例えばリサイクルに出す。
廻ルモノコト,回る物事。
山田さんは特別だから,山田さんは特別だから。
一日に三十時間時間があるわけでもありません,一日に30時間時間があるわけでもありません。
日々芯を潰して,日々芯を潰して。
毎日関心があることとかあと興味があること,毎日関心があることとかあと興味があること。
リンゴが落ちたことに気づかなければ,りんごが落ちたことに気付かなければ。
トイレットペーパー芯リサイクルアートというリンゴを手にしています,トイレットペーパー心リサイクルアートというりんごを手にしています。
まあ身内ですから明日聞きます,まあ身内ですからあした聞きます。
住民によって運営されております,住民によって運営されております。
長いですよね十四年です,長いですよね14年です。
そして城南町ではまた様々な悩みや,そして、城南町ではまたさまざまな悩みや
その方をサポートをしながら問題の解決に当たっています,その方はサポートしながら問題の解決に当たっています。
あるいは町内の中にも認知症の方もお見えになります,あるいは町内の中にも認知症の方もお見えになります。
以前の町内会はこのようなことを取り組んでいませんでした,以前の町内会は、このようなことを取り組んでいませんでした。
でも出発することはできませんでした,でも出発することはできませんでした。
未だに出発することはできていません,いまだに出発することできていません。
そんな私が地域の福祉に関心を持った関心を持ったと言いますか,そんな私が地域の福祉に関心を持った、関心を持ったといいますか。
両隣の方はじめご近所の人の見守りをお願いしていました,領土内の方はじめご近所の人の見守りをお願いしていました。
ひょっとすると皆さんの周りにもそのような方がお見えになるんじゃないでしょうか,ひょっとすると皆さんの周りのそのような方をお見えになるんじゃないでしょうか。
で実際に取り組んでみました,で実際に取り組んでみました。
そのブロックの中に様々な課題を抱えた人がお見えになります,そのブロックの中に、さまざまな課題を抱えた人がお見えになります。
そしてその問題を皆んなで話し合いながら,そして、その問題をみんなで話し合いながら。
それは私どもが支え合いマップを始めた一つの成果だという風に私は思っています,それは私どもが支えマップを始めた一つの成果だというふうに私は思ってます。
児童は一生懸命私の話を聞いてくれました,児童は一生懸命私の話を聞いてくれましたよ。
認知症は恥ずかしいからご近所に明らかにできない,認知症は恥ずかしいからご近所に明らかにできない。
認知症の人をじゃあどうやって探すの,認知症の人をじゃあどうやって探すの?
ひょっとしたらそういう地域福祉の問題ってのは,ひょっとしたらそういう地域福祉の問題。
そしてそのような地域福祉の勉強をしている中で,そして、そのような地域福祉の勉強をしている中で。
女子生徒だったんですねまっ,女性とはですね。
自分の気持ちの中でそんなのがあったんですよ,自分の気持ちの中そんなんあったんですよ。
そして高齢者と共に一緒に食事をしながら会話をする,そして高齢者と共に一緒に食事をしながら会話をする。
しかし子どもたちは実際に自分たちで振舞って高齢者と話をすることで,しかし子どもたちは、実際に自分たちでふるまって、高齢者と話をすることで。
そしたらやりますやらせて下さいということで,そしたらやりますやらせてくださいということで。
子どもが参加すれば親も参加します,子どもが参加すれば親も参加します。
存在になるだろうという風に,存在になるだろう。
今町内会を引き継いでくれる若い人です,今町内会を引き継いでくれる若い人。
しかし私たちがやって来たことをその若い人に押し付けるんではなく,しかし私たちがやってきたことをその若い人に押しつけるんではなく。
考えていきたいと思います,考えていきたいと思います。
そういったプロセスまで進んだことがありますか,そういったプロセスまで進んだことがありますか?
なんか映画のように素晴らしいものとして見て,何か映画のようにすばらしいものとして見て。
私が大学でプレゼンテーションに関する,私が大学でプレゼンテーションに関します。
ここに来なかった人たちが,ここに来なかった人たちが。
大病を患い生死を彷徨いました,大病を患い生死をさまよいました。
ところがある友人が,ところがある友人が。
非常に楽しんでいるんですね,非常に楽しんでいるんですね。
傍観者を気取っていました,傍観者を気取っていました。
ぜひ皆さん山の山頂で,ぜひ皆さん山の山頂で。
これまで私アイロンかけたことなかったんです,これまで私アイロンかけたことなかったんです。
その書籍も買い求め,その書籍も買い求め
私は元々スキーのレーサーです,私はもともとスキーのレーサーです。
ここで少しスピードをあげたりして,ここで少しスピードを上げたりして。
沖縄ではアロハシャツ,沖縄ではアロハシャツ。
この時にはちょっとアイロンがおっきくなってます,この時にはちょっとアイロンが大きくなってます。
非常に美しい景色の中で美しいものに心打たれながら,非常に美しい景色の中で美しいものに心を打たれながら。
アイロン掛けているヤツは世の中にいないだろうと思い,アイロンかけてるやつは世の中にいないだろうと思い。
無知っていうのは怖いです,無知ってのは怖いです。
心の冷静さを試すんだそうです,心の冷静さを試すんだそうです。
ばかばかしさの理解,ばかばかしさの理解。
山にのぼったり,山に登ったり。
この脚を分解し自作をしました,この足を分解し自作をしました。
あれ何してるんですかいやどう見てもアイロンでしょうっていう,あれ何してるんですかいやどう見てもアイロンでしょうっていう。
笑顔として伝染させることに気づいたんです,笑顔として伝染させることに気付いたんです。
これつまり心のシワを伸ばしてるんですね,これつまり心のシワを伸ばしてるんですね。
スキーをしながらアイロンを掛ける,スキーをしながらアイロンをかける。
アイロンもかなり大きいです,アイロンもかなり大きいです。
試しに行ってみたいと思いました,試しに行ってみたいと思いました。
なかなかみんなは最初のってくれませんでした,なかなかみんなは最初乗ってくれませんでした。
こういった大きな発見を得ました,こういった大きな発見を得ました。
内的な要素から浮かび上がるモチベーション,内的な要素から浮かび上がるモチベーション。
こういった思いがあれば,こういった思いがあれば。
ここでまさにプレゼンテーションと同じ共感が生まれたんです,ここでまさにプレゼンテーションと同じ共感が生まれたんです。
これは滝の裏側です,これは滝の裏側です。
そして自分の心に正直に向き合う,そして自分の心に正直に向き合う。
中には裸で,中には裸で。
ここでひとつ実験をしてみました,ここで一つ実験をしてみました。
もうまなかなかここまでやってですね,もうなかなかここまでやってですね
そこで実験二です,そこで実験にです。
私の友人はノリノリでした,私の友人はノリノリでした。
ここ彼が自分の心の壁を崩し越えた瞬間です,ここ彼が自分の心の壁を崩し越えた瞬間です。
