gt_text,pred_text
今大学教員をやってるんですけど,今大学教員のやってるんですけど
それについて今日あのまー紹介したいとあー思ってます,それについて今日紹介したいと思っています
周りをみると,周りを見ると
そういうこう読み書きできない人になってしまった,そういう読み書きできない人になってしまう
そのフィルタが外されたような感じですね,そのフィルターが外されたような感じですね
この日本語っていう暗号,この日本語という暗号
特に英語との関係を考えるとですね,特に英語との関係を考えるとですね
またミルクに戻りますね,どういう間に分かっていない
そんなどうでもいい,どうでもいい
例えばえあの小さい例なんですけどえーっと,小さい例なんですけど
軽蔑ガイダンスまきっといじめ問題があったに違いないと,まあきっといじみ問題あったのに違いないと
少しずつ使えるように日本語覚えていきました,少しずつ使えるような日本語を覚えてきました
でこういう風にこうあの身を異文化に置くというのは,こういうふうに実を異文化に置くっていうのは
そこに踏み出すというのは,そこで踏み出すっていうのは
インターネットを見るとこういうこういうのはいっぱいえー載ってると思うんですけど,インターネットを見るとこういうのいっぱい載ってると思うんですけど
えー見ていきたいと思うんです,見ていきたいと思うんです
まあ要するにねえ天才じゃない,要するに天才じゃない
共感できる部分あると思うんですけど,共感できる部分はあると思うんですけど
日本の教育レベルは高いんですね,日本は教育レベル高いんですね
でこれはもうちょっと,これをもうちょっと
あとビール飲むとまももっとぼやぼやけてきますよね,ビール飲むともっとぼやくてきますよね
コンフォートゾーンが形を変えながら広がっていくっていう,乾布ゾーンが形を変えながら広がっていくという
まあ大きいえープロジェクト,大きいプロジェク
当たり前なんですけどどこまでっていうのは,当たり前なんですけどどこまでっていうのは
分り易くていいんですけど反対する国は当然でてきます,分かれやすくでいいんですけど反対する国は当然出てきます
そこで承認されればもうあの,そこで承認されれば
海里あの使いますけどこれあうん,懐使いますけど
でこの下にある海底も,この下にある海底も
私関わったのは,私に関わったのは
自分の研究使いたいなあと,自分の研究つかい大人
重力磁性岩石の種類岩石の年代,重力、自生、岩石の種類が案籍の年代
その姿が浮き彫りになってきました,その姿が浮きぶりになってきました
で専門知識が必要,専門知識が必要
九州えーこれは四国海盆でえー,これは四国海本で
まあ海底に資源がいっぱい眠ってるっていうえー,海底に資源がいっぱい眠ってるという
あとはですね,あとはですね
要するにこう争わなくてあの決まるもの,要するに争わなくて決まるもの
何人かは読んでる読んでるそうですはい,何人かばら呼んでるそうです
あの外務省の人たちと話しなきゃいけない,外務所の人たちと話しなきゃいけない
僕にとって非常に感慨深いものだったんですね,僕にとって非常に感慨深いものだったんですね
あとはですね多分あの,あとはですね多分
でえーじゃあその,じゃあその
世界見たらですね爆発的に留学生の人数が増えてます,世界見たらですね爆発的に留学生の人数が増えています
でドイツサウジアラビアフランスあのえっと,ドイツサウディアラビフランス
こんなに低いという,本当に近いというよ
十年間で半減してます,10年間で半減しています
これやっぱり人間のこう基本的な願望の一つを表してると思うんですね,これは人間の基本的な願望の一つを表していると思うんですね
でも結局大学戻ってきたのは,でも結局大学戻ってきて
もっと限界試して欲しいなとあの思います,もっと限界試してほしいなと思います
まー私はそういう人たちをですね,私はそういう人たちはですね
それでえーあのほどよくストレスを感じながら楽しみながら,それで程よくストレスを感じながら楽しみながら
順番に並んでいるそばからソワソワしていました,順番に並んでるそばからそわそわしていました
